cpd_id,master_cpd_id,cpd_name,broad_cpd_id,top_test_conc_umol,cpd_status,inclusion_rationale,gene_symbol_of_protein_target,target_or_activity_of_compound,source_name,source_catalog_id,cpd_smiles
HC-067047,660083,HC-067047,BRD-K03391209,66.0,probe,lit-search,TRPV4,inhibitor of cation channel TRPV4,Tocris Bioscience,4100,Cc1c(cc(-c2ccccc2)n1CCCN1CCOCC1)C(=O)Nc1cccc(c1)C(F)(F)F
HLI 373,481311,HLI 373,BRD-K17349619,33.0,probe,pilot-set,MDM2,inhibitor of MDM2,Tocris Bioscience,3503,CN(C)CCCNc1c2ccccc2n(C)c2nc(=O)n(C)c(=O)c12
HYPERFORIN,660327,HYPERFORIN,BRD-A30032852,66.0,clinical,lit-search,TRPC6,agonist of calcium-permeable ion channels,Sigma-Aldrich,H1792,CC(C)C(=O)[C@@]12C(=O)C(CC=C(C)C)C(=O)C(CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C2=O
I-BET151,660206,I-BET151,BRD-K36363294,66.0,probe,chromatin;lit-search,BRD2;BRD3;BRD4,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,ChemieTek,CT-BET151 .,COc1cc2c3n([C@H](C)c4ccccn4)c(=O)[nH]c3cnc2cc1-c1c(C)noc1C
IBRUTINIB,660994,IBRUTINIB,BRD-K70301465,66.0,clinical,CTEP;kinome,BTK,inhibitor of Bruton's tyrosine kinase,Selleck,S2680,Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CCCN(C1)C(=O)C=C
IC-87114,55307,IC-87114,BRD-K75430629,66.0,probe,kinome,PIK3CD,inhibitor of PI3K catalytic subunit delta,Selleck,S1268,Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc23)nc2cccc(C)c2c1=O
IFOSFAMIDE,35319,IFOSFAMIDE,BRD-A67097164,66.0,FDA,std-of-care,,DNA alkylator,Selleck,S1302,ClCCNP1(=O)OCCCN1CCCl
IMATINIB,345041,IMATINIB,BRD-K92723993,66.0,FDA,std-of-care,ABL1;BCR;KIT,inhibitor of BCR-ABL1 and c-KIT,Selleck,S2475,CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nccc(n3)-c3cccnc3)c2)CC1
IMPORTAZOLE,46792,IMPORTAZOLE,BRD-A02481876,200.0,probe,pilot-set,KPNB1,inhibitor of importin,Vitas-M Laboratory Ltd.;EMD Biosciences,STK171852;401105,CC(Nc1nc(nc2ccccc12)N1CCCC1)c1ccccc1
INDISULAM,411874,INDISULAM,BRD-K17610631,33.0,clinical,chromatin;pilot-set,CA9,inhibitor of carbonic anhydrase isoform IX,MedKoo Biosciences,,NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc1cccc2c(Cl)c[nH]c12
IPR-456,660084,IPR-456,BRD-A76527075,66.0,probe,lit-search;synthesis,PLAUR,inhibitor of the interaction of urokinase receptor with binding partners,ChemDiv Inc.,C090-0424,CC1CC(C)CN(C1)c1cc(Nc2ccccc2C(O)=O)c2C(=O)c3ccccc3-c3onc1c23
ISOEVODIAMINE,594664,ISOEVODIAMINE,BRD-A68631409,33.0,probe,pilot-set,,natural product,Sigma-Aldrich,E3531,CN1C2N(CCc3c2[nH]c2ccccc32)C(=O)c2ccccc12
ISOLIQUIRITIGENIN,25393,ISOLIQUIRITIGENIN,BRD-K33583600,33.0,probe,pilot-set,,natural product,MicroSource Discovery Systems Inc.,01504200,Oc1ccc(cc1)\C=C\C(=O)c1ccc(O)cc1O
ISONICOTINOHYDROXAMIC ACID,478694,ISONICOTINOHYDROXAMIC ACID,BRD-K55478147,33.0,probe,chromatin;lit-search;outreach,HDAC6,inhibitor of HDAC6,Stanley Center for Psychiatric Research at the Broad Institute,,ONC(=O)c1ccncc1
ISOX,632907,ISOX,BRD-K69840642,33.0,probe,chromatin;pilot-set,HDAC6,inhibitor of HDAC6,Axon Medchem;Axon Medchem,Axon 1645;1645,CC(C)(C)OC(=O)Nc1ccc(cc1)-c1cc(no1)C(=O)NCCCCCCC(=O)NO
ISOX:BORTEZOMIB (250:1 MOL/MOL),660173,ISOX:BORTEZOMIB (250:1 MOL/MOL),BRD-M94091398,17.0,probe,combination,HDAC6;PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of HDAC6;inhibitor of 26S proteasome,,,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O.CC(C)(C)OC(=O)Nc1ccc(cc1)-c1cc(no1)C(=O)NCCCCCCC(=O)NO
ISTRADEFYLLINE,687694,ISTRADEFYLLINE,BRD-K87774949,33.0,clinical,lit-search,ADORA2A,antagonist of the adenosine A2A receptor,Selleck,S2790,CCn1c2nc(\C=C\c3ccc(OC)c(OC)c3)n(C)c2c(=O)n(CC)c1=O
ITRACONAZOLE,63349,ITRACONAZOLE,BRD-A34817987,17.0,FDA,pilot-set,,anti-fungal agent; inhibitor of hedgehog signaling pathway,Sigma-Aldrich,I6657,CCC(C)n1ncn(-c2ccc(cc2)N2CCN(CC2)c2ccc(OCC3COC(Cn4cncn4)(O3)c3ccc(Cl)cc3Cl)cc2)c1=O
IU1,272805,IU1,BRD-K45841694,66.0,probe,lit-search,USP14,inhibitor of the deubiquitinase activity of USP14,Tocris Bioscience,4088,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1
JQ-1,616354,JQ-1,BRD-K54606188,66.0,probe,chromatin;lit-search;pilot-set,BRDT,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins,Dana Farber Cancer Institute,,Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1
JQ-1:CARBOPLATIN (1:1 MOL/MOL),660247,JQ-1:CARBOPLATIN (1:1 MOL/MOL),BRD-M11510342,66.0,probe,combination,BRDT,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inducer of DNA damage,,,O=C1O[Pt]OC(=O)C11CCC1.Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1
JQ-1:MK-0752 (1:1 MOL/MOL),660253,JQ-1:MK-0752 (1:1 MOL/MOL),BRD-M94343540,66.0,probe,combination,BRDT;APH1A;NCSTN;PSEN1;PSENEN,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of gamma-secretase,,,OC(=O)CC[C@H]1CC[C@@](CC1)(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1.Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1
JQ-1:NAVITOCLAX (2:1 MOL/MOL),660252,JQ-1:NAVITOCLAX (2:1 MOL/MOL),BRD-M87479906,50.0,probe,combination,BRDT;BCL2;BCL2L1;BCL2L2,"inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of BCL2, BCL-xL, and BCL-W",,,Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
JQ-1:UNC0638 (2:1 MOL/MOL),660129,JQ-1:UNC0638 (2:1 MOL/MOL),BRD-M56714493,50.0,probe,combination,BRDT;EHMT1;EHMT2,inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of EHMT2 and GLP methyltransferase,,,Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1.COc1cc2c(NC3CCN(CC3)C(C)C)nc(nc2cc1OCCCN1CCCC1)C1CCCCC1
JQ-1:VORINOSTAT (2:1 MOL/MOL),660823,JQ-1:VORINOSTAT (2:1 MOL/MOL),BRD-M56962220,50.0,probe,combination,BRDT;HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of bromodomain (BRD) and extra-C terminal domain (BET) proteins;inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",,,ONC(=O)CCCCCCC(=O)Nc1ccccc1.Cc1sc-2c(c1C)C(=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n-21)c1ccc(Cl)cc1
JW-480,660227,JW-480,BRD-K99655327,66.0,probe,lit-search,NCEH1,inhibitor of serine hydrolase enzyme NCEH,Tocris Bioscience,4327,CC(C)c1ccccc1OC(=O)NCCc1ccc2ccccc2c1
JW-55,682993,JW-55,BRD-K53328210,66.0,probe,lit-search,TNKS,inhibitor of tankyrase,ChemBridge Corporation,7667791,COc1ccc(cc1)C1(CNC(=O)c2ccc(NC(=O)c3ccco3)cc2)CCOCC1
JW-74,676728,JW-74,BRD-K75664313,66.0,probe,lit-search,,inhibitor of WNT signaling,Sigma-Aldrich,SML0227,COc1ccc(cc1)-n1c(SCc2nc(no2)-c2ccc(C)cc2)nnc1-c1ccncc1
KH-CB19,660085,KH-CB19,BRD-K66430217,17.0,probe,kinome,CLK1;CLK4,inhibitor of CDC2-like kinases 1 and 4,Tocris Bioscience,4262,CCOC(=O)c1c(C(=CN)C#N)c2ccc(Cl)c(Cl)c2n1C
KHS101,660819,KHS101,BRD-K78978711,66.0,probe,lit-search,TACC3,"binder of TACC3, a component of the centrosome and mitotic spindle",Sigma-Aldrich,K4019,CC(C)CNc1ccnc(NCc2csc(n2)-c2ccccc2)n1
KI8751,375560,KI8751,BRD-K47150025,66.0,probe,kinome,KDR;KIT;PDGFRA,"inhibitor of VEGFR2, c-KIT, and PDGFRA",Selleck,S1363,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC
KO-143,418172,KO-143,BRD-K64642496,130.0,probe,pilot-set,ABCG2,inhibitor of breast cancer resistance protein multidrug transporter (BCRP),Sigma-Aldrich,K2144,COc1ccc2c3C[C@@H]4N([C@@H](CC(C)C)c3[nH]c2c1)C(=O)[C@H](CCC(=O)OC(C)(C)C)NC4=O
KPT185,660935,KPT185,BRD-K71467466,66.0,probe,outreach,XPO1,inhibitor of exportin 1,Karyopharm Therapeutics,KPT-185-004,COc1cc(cc(c1)C(F)(F)F)-c1ncn(\C=C/C(=O)OC(C)C)n1
KU 0060648,632119,KU 0060648,BRD-K09499853,33.0,probe,kinome;pilot-set,PRKDC,inhibitor of DNA-dependent protein kinase,Axon Medchem,1584,CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c3oc(cc4=O)N3CCOCC3)c3sc4ccccc4c23)CC1
KU-0063794,606363,KU-0063794,BRD-K67566344,66.0,probe,kinome,MTOR,inhibitor of mTOR,Selleck,S1226,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1C[C@H](C)O[C@H](C)C1)N1CCOCC1
KU-55933,58339,KU-55933,BRD-K25311561,66.0,probe,kinome,ATM,inhibitor of ataxia telangiectasia mutated (ATM),Selleck,S1092,O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1
KU-60019,660411,KU-60019,BRD-K36016295,66.0,probe,kinome,ATM,inhibitor of ataxia telangiectasia mutated (ATM),Selleck,S1570,C[C@H]1CN(CC(=O)Nc2ccc3Sc4c(Cc3c2)cccc4-c2cc(=O)cc(o2)N2CCOCC2)C[C@@H](C)O1
KW-2449,660413,KW-2449,BRD-K21718444,66.0,clinical,kinome,AURKA;FLT3,inhibitor of FLT3 and AURKA,Selleck,S2158,O=C(N1CCNCC1)c1ccc(cc1)\C=C\c1n[nH]c2ccccc12
KX2-391,660779,KX2-391,BRD-K29968218,66.0,clinical,kinome,SRC,peptide mimetic; inhibitor of SRC activity in cells,Selleck,S2700,O=C(Cc1ccc(cn1)-c1ccc(OCCN2CCOCC2)cc1)NCc1ccccc1
L-685458,411717,L-685458,BRD-K87317732,37.0,probe,pilot-set,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase,Sigma-Aldrich,L1790,CC(C)C[C@H](NC(=O)[C@@H](C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(N)=O
LAPATINIB,634309,LAPATINIB,BRD-K19687926,66.0,FDA,CTEP;kinome;std-of-care,EGFR;ERBB2,inhibitor of EGFR and HER2,Selleck,S1028,CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1
LBH-589,54210,LBH-589,BRD-K02130563,66.0,clinical,chromatin;outreach,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Stanley Center for Psychiatric Research at the Broad Institute,,Cc1[nH]c2ccccc2c1CCNCc1ccc(\C=C\C(=O)NO)cc1
LE-135,375354,LE-135,BRD-K06593056,66.0,probe,pilot-set,RARB,antagonist of retinoic acid receptor beta,Tocris Bioscience,2021,CN1c2cc3c(cc2N=C(c2ccc(cc2)C(O)=O)c2ccccc12)C(C)(C)CCC3(C)C
LENVATINIB,628639,LENVATINIB,BRD-K39974922,66.0,FDA,lit-search,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB,"inhibitor of VEGFRs, c-KIT, and PDGFR alpha and beta",Selleck,S1164,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O
LEPTOMYCIN B,660086,LEPTOMYCIN B,BRD-K27624156,66.0,probe,lit-search,XPO1,inhibitor of exportin 1,LC Laboratories,L-6100,CCC(\C=C\[C@@H]1OC(=O)C=C[C@@H]1C)=C\[C@H](C)C\C=C\C(C)=C\[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C\C(C)=C\C(O)=O
LINIFANIB,606033,LINIFANIB,BRD-K99749624,66.0,clinical,kinome,FLT1;FLT3;KDR,inhibitor of VEGFRs,Selleck,S1003,Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)-c2cccc3[nH]nc(N)c23)c1
LINSITINIB,705300,LINSITINIB,BRD-K08589866,33.0,clinical,CTEP;kinome;pilot-set,IGF1R;INSR,inhibitor of insulin-like growth factor 1 receptor and insulin receptor,Selleck,S1091,CC1(O)CC(C1)c2nc(c3ccc4ccc(nc4c3)c5ccccc5)c6c(N)nccn26
LOMEGUATRIB,660207,LOMEGUATRIB,BRD-K27955832,66.0,clinical,lit-search,MGMT,inhibitor of methylguanine-DNA methyltransferase,Tocris Bioscience,4359,Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1
LOVASTATIN,30620,LOVASTATIN,BRD-A70155556,130.0,FDA,pilot-set,HMGCR,inhibitor of HMG-CoA reductase,AnalytiCon Discovery GmbH,NP-001236,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)C12
LRRK2-IN-1,607696,LRRK2-IN-1,BRD-K01436366,66.0,probe,kinome,DCLK1;LRRK2,inhibitor of leucine-rich repeat kinase 2; inhibitor of doublecortin-like kinase,EMD Biosciences,438193,COc1cc(ccc1Nc1ncc2N(C)C(=O)c3ccccc3N(C)c2n1)C(=O)N1CCC(CC1)N1CCN(C)CC1
LY-2157299,660431,LY-2157299,BRD-K78118466,66.0,probe,kinome,TGFBR1,inhibitor of the transforming growth factor beta type 1 receptor,Selleck,S2230,Cc1cccc(n1)-c1nn2CCCc2c1-c1ccnc2ccc(cc12)C(N)=O
LY-2183240,375496,LY-2183240,BRD-K37865504,33.0,probe,pilot-set,FAAH,inhibitor of fatty acid amide hydrolase; inhibitor of anandamide uptake,Tocris Bioscience,2452,CN(C)C(=O)n1nnnc1Cc1ccc(cc1)-c1ccccc1
MANUMYCIN A,50727,MANUMYCIN A,BRD-K78599730,30.0,probe,pilot-set,FNTA;FNTB,inhibitor of RAS farnesyltransferase,Sigma-Aldrich,M6418,CCCC[C@@H](C)\C=C(C)\C=C(/C)C(=O)NC1=C[C@@](O)(\C=C\C=C\C=C\C(=O)NC2C(=O)CCC2=O)[C@@H]2O[C@@H]2C1=O
MARINOPYRROLE A,666910,MARINOPYRROLE A,BRD-K57261999,66.0,probe,outreach,MCL1,natural product; putative inhibitor of MCL1,Harvard University,,Oc1ccccc1C(=O)c1[nH]c(Cl)c(Cl)c1-n1c(cc(Cl)c1Cl)C(=O)c1ccccc1O
MASITINIB,606143,MASITINIB,BRD-K71035033,66.0,clinical,kinome,KIT;PDGFRA;PDGFRB,"inhibitor of c-KIT, PDGFRA, and PDGFRB",Selleck,S1064,CN1CCN(Cc2ccc(cc2)C(=O)Nc2ccc(C)c(Nc3nc(cs3)-c3cccnc3)c2)CC1
MDIVI-1,215497,MDIVI-1,BRD-K61128465,66.0,probe,lit-search,DNM1,inhibitor of dynamin 1; inhibitor of mitrochondrial division inhibitor,Tocris Bioscience,3982,COc1cc(c(Cl)cc1Cl)-n1c(=S)[nH]c2ccccc2c1=O
MERCK60,61674,MERCK60,BRD-K04466929,33.0,probe,chromatin;pilot-set,HDAC1;HDAC2,inhibitor of HDAC1 and HDAC2,Stanley Center for Psychiatric Research at the Broad Institute,,CC(=O)Nc1ccc(cc1)C(=O)Nc1cc(ccc1N)-c1cccs1
METHOTREXATE,30371,METHOTREXATE,BRD-K59456551,66.0,FDA,std-of-care,DHFR,inhibitor of dihydrofolate reductase,Selleck,S1210,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
METHYLSTAT,667933,METHYLSTAT,BRD-K52560704,66.0,probe,chromatin;lit-search;outreach,KDM3A;KDM4A;KDM4B;KDM4C;KDM4D,inhibitor of lysine specific demethylases,Colorado State University,,COC(=O)\C=C\C(=O)N(O)CCCCNCc1ccc(COC(=O)Nc2cccc3ccccc23)cc1
MG-132,58948,MG-132,BRD-K60230970,20.0,probe,lit-search,PSMB1;PSMB2;PSMB5;PSMD1;PSMD2,inhibitor of the proteosome,Selleck;Broad Institute of MIT and Harvard,S2619,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
MGCD-265,628622,MGCD-265,BRD-K56277358,66.0,clinical,kinome,FLT1;FLT3;KDR;MET,inhibitor of c-MET and VEGFRs,Selleck,S1361,Cn1cnc(c1)-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1
MI-1,185987,MI-1,BRD-K64497429,33.0,probe,lit-search,MEN1,binder of menin; inhibitor of menin-MLL fusion protein,InterBioScreen Ltd.,STOCK3S-35137,CC1(C)CN=C(S1)N1CCN(CC1)c1ncnc2sc3CCCCc3c12
MI-2,687714,MI-2,BRD-K90860366,66.0,probe,chromatin;lit-search;synthesis,MEN1,binder of menin; inhibitor of menin-MLL fusion protein,Broad Institute of MIT and Harvard,,CCCc1cc2c(ncnc2s1)N1CCN(CC1)C1=NCC(C)(C)S1
MITOMYCIN,50732,MITOMYCIN,BRD-K59670716,50.0,FDA,pilot-set;std-of-care,,DNA crosslinker,Sigma-Aldrich,M0440,CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O
MK-0752,660332,MK-0752,BRD-K18850819,66.0,clinical,lit-search,APH1A;NCSTN;PSEN1;PSENEN,inhibitor of gamma-secretase,Selleck,S2660,OC(=O)CC[C@H]1CC[C@@](CC1)(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1
MK-1775,418167,MK-1775,BRD-K54256913,33.0,clinical,CTEP;kinome;pilot-set,WEE1,inhibitor of WEE1,Axon Medchem,1494,CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n(-c2cccc(n2)C(C)(C)O)n(CC=C)c3=O)cc1
MK-2206,377381,MK-2206,BRD-K68065987,33.0,clinical,chromatin;CTEP;kinome;pilot-set,AKT1,inhibitor of AKT1,Selleck,S1078,NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1
ML006,17712,ML006,BRD-K89692698,530.0,probe,pilot-set,S1PR3,agonist of sphingosine 1-phosphate receptor 3,Enamine Ltd.,Z1037336336,C1CN(CCO1)c1nnc(-c2ccccc2)c(n1)-c1ccccc1
ML029,350548,ML029,BRD-K59962020,33.0,probe,chromatin;pilot-set,,inhibitor of antigen receptor-mediated NFkappaB activity,WuXi AppTec,TH02453-034,Cc1cc2nc(NCCCO)n(CC(=O)c3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)c2cc1C
ML031,96171,ML031,BRD-K38985961,530.0,probe,pilot-set,S1PR2,inhibitor of sphingosine 1-phosphate receptor 2,Enamine Ltd.,Z19746470,Cc1cc(C(=O)CN2C(=O)CCC2=O)c(C)n1Cc1ccccc1
ML050,153820,ML050,BRD-A83255679,66.0,probe,pilot-set,GPER1,antagonist of GPR30,Asinex Ltd.,BAS 02002358,Brc1cc2OCOc2cc1C1Nc2ccccc2C2C=CCC12
ML083,255961,ML083,BRD-K44241590,37.0,probe,pilot-set,PKM,activator of muscle pyruvate kinase,Enamine Ltd.,T6096896,COc1ccc(cc1)S(=O)(=O)N1CCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1
ML162,154846,ML162,BRD-A36275421,33.0,probe,pilot-set,,selectively kills engineered cells expressing mutant HRAS,ChemDiv Inc.,K784-3185,COc1ccc(cc1Cl)N(C(C(=O)NCCc1ccccc1)c1cccs1)C(=O)CCl
ML203,411816,ML203,BRD-K80672993,37.0,probe,pilot-set,PKM,activator of muscle pyruvate kinase (PKM2),WuXi AppTec,TH02357-061,Nc1cccc(c1)S(=O)(=O)N1CCCN(CC1)S(=O)(=O)c1ccc2OCCOc2c1
ML210,609110,ML210,BRD-K01877528,33.0,probe,pilot-set,,selectively kills engineered cells expressing mutant HRAS,Broad Institute of MIT and Harvard,,Cc1onc(C(=O)N2CCN(CC2)C(c2ccc(Cl)cc2)c2ccc(Cl)cc2)c1[N+]([O-])=O
ML239,609781,ML239,BRD-K01121114,66.0,probe,MLPCN;outreach,,ML239; inhibitor of breast cancer stem cell proliferation,Broad Institute of MIT and Harvard,,Clc1cc(Cl)c(OCC(=O)N\N=C\c2ccc[nH]2)c(Cl)c1
ML258,660314,ML258,BRD-A82720512,66.0,probe,outreach,BCL2L10,inhibitor of BIM-BCL-B interaction,Sanford-Burnham Medical Research Institute,,COc1ccc(CN2c3nnnn3C3C(C2=O)C2(CCCC2)Cc2ccccc32)cc1
ML311,290356,ML311,BRD-A40802033,66.0,probe,outreach,MCL1,inhibitor of MCL1,Eutropics Pharmaceuticals,EU-5346,CCN1CCN(CC1)C(c1ccc(cc1)C(F)(F)F)c1ccc2cccnc2c1O
ML312,434195,ML312,BRD-K70809902,66.0,probe,MLPCN;outreach,SCARB1,"inhibitor of scavenger receptor class B, member 1 (SCARB1)-mediated lipid uptake",Broad Institute of MIT and Harvard,,CC(C)NC(=O)Nc1ccc2O[C@@H](CN(C)S(=O)(=O)c3ccc(Cl)cc3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1
ML320,659682,ML320,BRD-K81491172,66.0,probe,MLPCN;outreach,GSK3B,inhibitor of GSK3 beta,Broad Institute of MIT and Harvard,,COc1ccccc1[C@H]1c2c(NC3=C1C(=O)CC(C)(C)C3)n[nH]c2C(F)(F)F
ML334 DIASTEREOMER,654278,ML334 DIASTEREOMER,BRD-K93367411,130.0,probe,lit-search;synthesis,KEAP1;NFE2L2,inhibitor of KEAP1-NFE2L2 protein-protein interaction,Broad Institute of MIT and Harvard,,OC(=O)[C@@H]1CCCC[C@@H]1C(=O)N1CCc2ccccc2[C@H]1CN1C(=O)c2ccccc2C1=O
MLN2238,632873,MLN2238,BRD-K78659596,33.0,clinical,pilot-set,PSMB5,inhibitor of 20S proteasome at the chymotrypsin-like proteolytic (beta-5) site,Selleck,S2180,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O
MLN2480,687579,MLN2480,BRD-K43410529,66.0,clinical,lit-search,ARAF;BRAF;RAF1,inhibitor of RAF kinases,Active Biochem,A-1192,C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(s1)C(=O)Nc1cc(c(Cl)cn1)C(F)(F)F
MOMELOTINIB,660429,MOMELOTINIB,BRD-K87737963,66.0,clinical,kinome,JAK1;JAK2,inhibitor of Janus kinases 1 and 2,Selleck,S2219,O=C(NCC#N)c1ccc(cc1)-c1ccnc(Nc2ccc(cc2)N2CCOCC2)n1
MST-312,411865,MST-312,BRD-K19894101,33.0,probe,chromatin;pilot-set,TERT,inhibitor of telomerase reverse transcriptase,Sigma-Aldrich,M3949,Oc1cccc(C(=O)Nc2cccc(NC(=O)c3cccc(O)c3O)c2)c1O
MYRICETIN,29985,MYRICETIN,BRD-K43149758,66.0,probe,lit-search,,flavonoid antioxidant,Selleck,S2326,Oc1cc(O)c2c(c1)oc(-c1cc(O)c(O)c(O)c1)c(O)c2=O
MYRIOCIN,417977,MYRIOCIN,BRD-A76279427,33.0,probe,pilot-set,SPTLC1;SPTLC2;SPTLC3,inhibitor of serine palmitoyltransferase,Sigma-Aldrich,M1177,CCCCCCC(=O)CCCCCC\C=C\C[C@H](O)[C@@H](O)C(N)(CO)C(O)=O
N9-ISOPROPYLOLOMOUCINE,45093,N9-ISOPROPYLOLOMOUCINE,BRD-K71726959,400.0,probe,chromatin;kinome;pilot-set,CCNB1;CDK1;CDK5;CDK5R1,inhibitor of CDK1/cyclin B and CDK5/p35 complexes,Enzo Life Sciences,ALX-270-397-M005,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc12
NAKITERPIOSIN,417452,NAKITERPIOSIN,BRD-K38264551,33.0,probe,pilot-set,,natural product; inhibitor of microtubule assembly,"University of Texas, Southwestern",,C[C@H]1C[C@@H](OC1=O)[C@@H](O)[C@@H](C(Cl)Cl)c1ccc2[C@@H]3C[C@@H](Br)[C@]45O[C@H](C[C@]4(C)[C@H]3C(=O)c2c1C)CO[C@H]5O
NARCICLASINE,632243,NARCICLASINE,BRD-K06792661,33.0,probe,pilot-set,RHOA,activates cellular activity of RhoA; modulator of Rho/Rho kinase/LIM kinase/cofilin signaling,Sigma-Aldrich,N9789,O[C@H]1C=C2[C@@H](NC(=O)c3c(O)c4OCOc4cc23)[C@H](O)[C@@H]1O
NAVITOCLAX,362342,NAVITOCLAX,BRD-K82746043,33.0,clinical,CTEP;pilot-set,BCL2;BCL2L1;BCL2L2,"inhibitor of BCL2, BCL-xL, and BCL-W",Selleck,S1001,CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
